COMPLETE PROGRAMS REPORT
Total installed: 123
Total store apps: 163
Total running: 125
Total startup: 8

================================================================================
INSTALLED PROGRAMS (123)
================================================================================

Anaconda3 2025.06-0 (Python 3.13.5 64-bit) | 2025.06-0 | Anaconda, Inc.
Microsoft.SecHealthUI | 1000.29554.1001.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Services.Store.Engagement | 10.0.23012.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Services.Store.Engagement | 10.0.23012.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.StartExperiencesApp | 1.264.3.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.StorePurchaseApp | 22603.1401.2.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.UI.Xaml.2.3 | 2.32002.13001.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.UI.Xaml.2.3 | 2.32002.13001.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.UI.Xaml.2.8 | 8.2501.31001.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.UI.Xaml.2.8 | 8.2501.31001.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.UI.Xaml.2.8 | 8.2511.26001.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.UI.Xaml.CBS | 9.2602.17001.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.VCLibs.140.00 | 14.0.33519.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.VCLibs.140.00 | 14.0.33519.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.VCLibs.140.00.UWPDesktop | 14.0.33728.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.VCLibs.140.00.UWPDesktop | 14.0.33728.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.VisualStudioCode | 1.0.119.1 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.VP9VideoExtensions | 1.2.12.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WebMediaExtensions | 2.1.26.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WebpImageExtension | 1.2.14.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WidgetsPlatformRuntime | 1.6.14.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Win32WebViewHost | 10.0.26100.1 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WinAppRuntime.DDLM.5001.373.1736.0-x6 | 5001.373.1736.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WinAppRuntime.DDLM.5001.373.1736.0-x8 | 5001.373.1736.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WinAppRuntime.DDLM.8000.675.1142.0-x6 | 8000.675.1142.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WinAppRuntime.DDLM.8000.675.1142.0-x8 | 8000.675.1142.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.Apprep.ChxApp | 1000.25128.1000.0 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.AssignedAccessLockApp | 1000.25128.1000.0 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.AugLoop.CBS | 1.1126.2131.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.CapturePicker | 10.0.19580.1000 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.CloudExperienceHost | 10.0.26100.1 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.ContentDeliveryManager | 10.0.26100.1 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.DevHome | 0.2100.858.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.NarratorQuickStart | 10.0.26100.1 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.OOBENetworkCaptivePortal | 10.0.26495.1000 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.OOBENetworkConnectionFlow | 10.0.26495.1000 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.ParentalControls | 1000.25128.1000.0 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.PeopleExperienceHost | 10.0.26100.1 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.Photos | 2026.11020.20001.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.PinningConfirmationDialog | 1000.25140.1001.0 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.PrintQueueActionCenter | 1.0.2.0 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.SecureAssessmentBrowser | 10.0.26100.1 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.ShellExperienceHost | 10.0.26100.8115 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.StartMenuExperienceHost | 10.0.26100.4768 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.Windows.XGpuEjectDialog | 10.0.26100.1 | CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAlarms | 11.2512.0.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
Microsoft.WindowsAppRuntime.1.2 | 2000.802.31.0 | CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US
